Polymer,Name,mw_repeat_unit,big_smiles,smiles_with_dummy_halogens,poly_chemprop_smiles,poly_chemprop_extra_bonds,smiles,Cycle
poly(dimethyl siloxane),PDMS,74.155,{[>][<][Si](C)(C)O[>][<]},[F][Si](C)(C)O[Br],[*:1][Si](C)(C)O[*:2],<1-2:1.0:1.0,[Si](C)(C)O,[Si]1(C)(C)O[Si](C)(C)O1
poly(styrene),PS,104.15,{[$][$]CC(c1ccccc1)[$][$]},[I]CC(c1ccccc1)[I],[*:1]CC(c1ccccc1)[*:2],<1-2:0.5:0.5<1-1:0.5:0.5<2-2:0.5:0.5,CC(c1ccccc1),
poly(vinyl cyclohexane),PVCH,110.2,{[$][$]CC(C1CCCCC1)[$][$]},[I]CC(C1CCCCC1)[I],[*:1]CC(C1CCCCC1)[*:2],<1-2:0.5:0.5<1-1:0.5:0.5<2-2:0.5:0.5,CC(C1CCCCC1),
"poly{2,5-bis[(4-butoxyphenyl)- oxycarbonyl]styrene}",PBPCS,488.58,{[$][$]CC(c1cc(C(=O)Oc2ccc(OCCCC)cc2)ccc1(C(=O)Oc3ccc(OCCCC)cc3))[$][$]},[I]CC(c1cc(C(=O)Oc2ccc(OCCCC)cc2)ccc1(C(=O)Oc3ccc(OCCCC)cc3))[I],[*:1]CC(c1cc(C(=O)Oc2ccc(OCCCC)cc2)ccc1(C(=O)Oc3ccc(OCCCC)cc3))[*:2],<1-2:0.5:0.5<1-1:0.5:0.5<2-2:0.5:0.5,CC(c1cc(C(=O)Oc2ccc(OCCCC)cc2)ccc1(C(=O)Oc3ccc(OCCCC)cc3)),
poly(2-ethylhexylmethacrylate),PEHMA,198.306,{[$][$]CC(C)(C(=O)OCC(CC)CCCC)[$][$]},[I]CC(C)(C(=O)OCC(CC)CCCC)[I],[*:1]CC(C)(C(=O)OCC(CC)CCCC)[*:2],<1-2:0.5:0.5<1-1:0.5:0.5<2-2:0.5:0.5,CC(C)(C(=O)OCC(CC)CCCC),
poly(ethylene oxide),PEO,44.05,{[>][<]CCO[>][<]},[F]CCO[Br],[*:1]CCO[*:2],<1-2:1.0:1.0,CCO,C1COCCO1
poly(isoprene),PI,68.12,"{[$][$]C\C=C(C)/C[$],[$]C\C=C(C)\C[$],[$]CC(C(C)=C)[$],[$]CC(C)(C=C)[$][$]}",[I]C\C=C(C)/C[I].[I]C\C=C(C)\C[I].[I]CC(C(C)=C)[I].[I]CC(C)(C=C)[I],[*:1]C\C=C(C)/C[*:2].[*:3]C\C=C(C)\C[*:4].[*:5]CC(C(C)=C)[*:6].[*:7]CC(C)(C=C)[*:8],<1-1:0.125:0.125<2-2:0.125:0.125<3-3:0.125:0.125<4-4:0.125:0.125<5-5:0.125:0.125<6-6:0.125:0.125<7-7:0.125:0.125<8-8:0.125:0.125<1-2:0.125:0.125<1-3:0.125:0.125<1-4:0.125:0.125<1-5:0.125:0.125<1-6:0.125:0.125<1-7:0.125:0.125<1-8:0.125:0.125<2-3:0.125:0.125<2-4:0.125:0.125<2-5:0.125:0.125<2-6:0.125:0.125<2-7:0.125:0.125<2-8:0.125:0.125<3-4:0.125:0.125<3-5:0.125:0.125<3-6:0.125:0.125<3-7:0.125:0.125<3-8:0.125:0.125<4-5:0.125:0.125<4-6:0.125:0.125<4-7:0.125:0.125<4-8:0.125:0.125<5-6:0.125:0.125<5-7:0.125:0.125<5-8:0.125:0.125<6-7:0.125:0.125<6-8:0.125:0.125<7-8:0.125:0.125,C\C=C(C)/C.C\C=C(C)\C.CC(C(C)=C).CC(C)(C=C),"C1\C=C(C)/CC\C=C(C)/C1,C1\C=C(C)\CC\C=C(C)\C1,C1C(C(C)=C)CC1(C(C)=C),C1C(C)(C=C)CC1(C)(C=C)"
poly(ethylene propylene),PEP,70.135,"{[$][$]CCC(C)C[$],[$]CC(C(C)C)[$],[$]CC(C)(CC)[$][$]}",[I]CCC(C)C[I].[I]CC(C(C)C)[I].[I]CC(C)(CC)[I],[*:1]CCC(C)C[*:2].[*:3]CC(C(C)C)[*:4].[*:5]CC(C)(CC)[*:6],<1-1:0.16666666666666666:0.16666666666666666<2-2:0.16666666666666666:0.16666666666666666<3-3:0.16666666666666666:0.16666666666666666<4-4:0.16666666666666666:0.16666666666666666<5-5:0.16666666666666666:0.16666666666666666<6-6:0.16666666666666666:0.16666666666666666<1-2:0.16666666666666666:0.16666666666666666<1-3:0.16666666666666666:0.16666666666666666<1-4:0.16666666666666666:0.16666666666666666<1-5:0.16666666666666666:0.16666666666666666<1-6:0.16666666666666666:0.16666666666666666<2-3:0.16666666666666666:0.16666666666666666<2-4:0.16666666666666666:0.16666666666666666<2-5:0.16666666666666666:0.16666666666666666<2-6:0.16666666666666666:0.16666666666666666<3-4:0.16666666666666666:0.16666666666666666<3-5:0.16666666666666666:0.16666666666666666<3-6:0.16666666666666666:0.16666666666666666<4-5:0.16666666666666666:0.16666666666666666<4-6:0.16666666666666666:0.16666666666666666<5-6:0.16666666666666666:0.16666666666666666 ,CCC(C)C.CC(C(C)C).CC(C)(CC),"C1CC(C)CCCC(C)C1,C1C(C(C)C)CC1(C(C)C),C1C(C)(CC)CC1(C)(CC)"
poly(butadiene),14PB,54.09,"{[$][$]C\C=C/C[$],[$]C\C=C\C[$],[$]CC(C=C)[$][$]}",[I]C\C=C/C[I].[I]C\C=C\C[I].[I]CC(C=C)[I],[*:1]C\C=C/C[*:2].[*:3]C\C=C\C[*:4].[*:5]CC(C=C)[*:6],<1-1:0.16666666666666666:0.16666666666666666<2-2:0.16666666666666666:0.16666666666666666<3-3:0.16666666666666666:0.16666666666666666<4-4:0.16666666666666666:0.16666666666666666<5-5:0.16666666666666666:0.16666666666666666<6-6:0.16666666666666666:0.16666666666666666<1-2:0.16666666666666666:0.16666666666666666<1-3:0.16666666666666666:0.16666666666666666<1-4:0.16666666666666666:0.16666666666666666<1-5:0.16666666666666666:0.16666666666666666<1-6:0.16666666666666666:0.16666666666666666<2-3:0.16666666666666666:0.16666666666666666<2-4:0.16666666666666666:0.16666666666666666<2-5:0.16666666666666666:0.16666666666666666<2-6:0.16666666666666666:0.16666666666666666<3-4:0.16666666666666666:0.16666666666666666<3-5:0.16666666666666666:0.16666666666666666<3-6:0.16666666666666666:0.16666666666666666<4-5:0.16666666666666666:0.16666666666666666<4-6:0.16666666666666666:0.16666666666666666<5-6:0.16666666666666666:0.16666666666666666 ,C\C=C/C.C\C=C\C.CC(C=C),"C1\C=C/CC\C=C/C1,C1\C=C\CC\C=C\C1,C1C(C=C)CC1(C=C)"
"poly(l,2-butadiene)",12PB,54.09,{[$][$]CC(C=C)[$][$]},[I]CC(C=C)[I],[*:1]CC(C=C)[*:2],<1-2:0.5:0.5<1-1:0.5:0.5<2-2:0.5:0.5,CC(C=C),
