Polymer,Name,Object,SMILES for Machine Learning,Density (g/mL) from Arora et al in SI,Density (g/mL) if not reported in article (from Source column),Source,Cycle
poly(dimethyl siloxane),PDMS,{[>][<][Si](C)(C)O[>][<]},[Si](C)(C)O,0.965,0.965,https://polymerdatabase.com/polymers/Polydimethylsiloxane.html,[Si]1(C)(C)O[Si](C)(C)O1
poly(styrene),PS,{[$][$]CC(c1ccccc1)[$][$]},CC(c1ccccc1),0.909,1.05,https://polymerdatabase.com/polymers/polystyrene.html,
poly(vinyl cyclohexane),PVCH,{[$][$]CC(C1CCCCC1)[$][$]},CC(C1CCCCC1),0.805,0.94,http://polymerdatabase.com/polymers/polycyclohexylethylene.html,
"poly{2,5-bis[(4-butoxyphenyl)- oxycarbonyl]styrene}",PBPCS,{[$][$]CC(c1cc(C(=O)Oc2ccc(OCCCC)cc2)ccc1(C(=O)Oc3ccc(OCCCC)cc3))[$][$]},CC(c1cc(C(=O)Oc2ccc(OCCCC)cc2)ccc1(C(=O)Oc3ccc(OCCCC)cc3)),1.25,1.25,https://pubs.acs.org/doi/suppl/10.1021/ma302048y/suppl_file/ma302048y_si_001.pdf,
poly(2-ethylhexylmethacrylate),PEHMA,{[$][$]CC(C)(C(=O)OCC(CC)CCCC)[$][$]},CC(C)(C(=O)OCC(CC)CCCC),0.908,0.993,https://www.sciencedirect.com/science/article/pii/S0032386114001621?via%3Dihub,
poly(ethylene oxide),PEO,{[>][<]CCO[>][<]},CCO,1.125,1.13,,C1COCCO1
poly(isoprene),PI,"{[$][$]C\C=C(C)/C[$],[$]C\C=C(C)\C[$],[$]CC(C(C)=C)[$],[$]CC(C)(C=C)[$][$]}",CC=C(C)C,0.91,0.91,https://polymerdatabase.com/polymers/polyisoprene.html,"C1\C=C(C)/CC\C=C(C)/C1,C1\C=C(C)\CC\C=C(C)\C1,C1C(C(C)=C)CC1(C(C)=C),C1C(C)(C=C)CC1(C)(C=C)"
poly(ethylene propylene),PEP,"{[$][$]CCC(C)C[$],[$]CC(C(C)C)[$],[$]CC(C)(CC)[$][$]}",CCC(C)C,0.86,0.9,"https://www.chemicalbook.com/ChemicalProductProperty_US_CB4228497.aspx#:~:text=POLY(PROPYLENE%2DCO%2DETHYLENE)%20Property&text=Density%20%3A,25%20%C2%B0C(lit.)","C1CC(C)CCCC(C)C1,C1C(C(C)C)CC1(C(C)C),C1C(C)(CC)CC1(C)(CC)"
poly(butadiene),14PB,"{[$][$]C\C=C/C[$],[$]C\C=C\C[$],[$]CC(C=C)[$][$]}",CC=CC,0.89,0.93,https://polymerdatabase.com/polymers/poly14-butadiene.html,"C1\C=C/CC\C=C/C1,C1\C=C\CC\C=C\C1,C1C(C=C)CC1(C=C)"
"poly(l,2-butadiene)",12PB,{[$][$]CC(C=C)[$][$]},CC(C=C),0.95,0.91,http://polymerdatabase.com/polymers/poly12-butadiene.html,
poly(ethylethylene),PEE,{[$][$]CC(CC)[$][$]},CC(CC),0.95,0.859,https://polymerdatabase.com/polymers/polybutylene.html,"C1CCCCCCC1,C1C(CC)CC1(CC)"
poly(ethylene),PE,{[$][$]CC[$][$]},CC,0.9,0.85,https://polymerdatabase.com/polymers/polyethylene.html,"C1CCCCCCC1,C1C(CC)CC1(CC)"
