master_chemprop_input,lamellar,cylinder,sphere,gyroid,disordered
CC(c1ccccc1).[Si](C)(C)O,0,0,1,0,0
CC(c1ccccc1).[Si](C)(C)O,0,1,0,0,0
CC(c1ccccc1).[Si](C)(C)O,1,0,0,0,0
CC(c1ccccc1).[Si](C)(C)O,0,1,0,0,0
CC(c1ccccc1).[Si](C)(C)O,0,1,0,0,0
CC(c1ccccc1).[Si](C)(C)O,1,0,0,0,0
CC(c1ccccc1).[Si](C)(C)O,0,1,0,0,0
CC(C1CCCCC1).CC.CC(CC),1,0,0,0,1
CC(C1CCCCC1).CC.CC(CC),1,0,0,0,1
CC(C1CCCCC1).CC.CC(CC),1,0,0,0,1
CC(C1CCCCC1).CC.CC(CC),1,0,0,0,1
CC(C1CCCCC1).CC.CC(CC),1,0,0,0,0
CC(C1CCCCC1).CC.CC(CC),0,0,0,0,1
CC(C1CCCCC1).CC.CC(CC),1,0,0,0,1
CC(C1CCCCC1).CC.CC(CC),1,0,0,0,1
CC(C1CCCCC1).CC.CC(CC),1,0,0,0,1
CC(C1CCCCC1).CC.CC(CC),1,0,0,0,1
CC(C1CCCCC1).CC.CC(CC),1,0,0,0,1
CC(C1CCCCC1).CC.CC(CC),1,0,0,0,0
CC(C1CCCCC1).CC.CC(CC),1,0,0,0,1
CC(C1CCCCC1).CC.CC(CC),1,0,0,0,1
CC(C1CCCCC1).CC.CC(CC),1,0,0,0,1
CC(C1CCCCC1).CC.CC(CC),1,0,0,0,1
CC(C1CCCCC1).CC.CC(CC),1,0,0,0,0
CC(C1CCCCC1).CC.CC(CC),1,0,0,0,1
CC(C1CCCCC1).CC.CC(CC),1,0,0,0,1
CC(C1CCCCC1).CC.CC(CC),1,0,0,0,1
CC(C1CCCCC1).CC.CC(CC),1,0,0,0,1
CC(C1CCCCC1).CC.CC(CC),0,0,0,0,1
CC(C1CCCCC1).CC.CC(CC),1,0,0,0,1
CC(C1CCCCC1).CC.CC(CC),0,0,0,0,1
CC(C1CCCCC1).CC.CC(CC),0,0,0,0,1
CC(C1CCCCC1).CC.CC(CC),1,0,0,0,1
CC(c1cc(C(=O)Oc2ccc(OCCCC)cc2)ccc1(C(=O)Oc3ccc(OCCCC)cc3)).[Si](C)(C)O,0,0,1,0,0
CC(c1cc(C(=O)Oc2ccc(OCCCC)cc2)ccc1(C(=O)Oc3ccc(OCCCC)cc3)).[Si](C)(C)O,0,0,1,0,0
CC(c1cc(C(=O)Oc2ccc(OCCCC)cc2)ccc1(C(=O)Oc3ccc(OCCCC)cc3)).[Si](C)(C)O,0,0,1,0,0
CC(c1cc(C(=O)Oc2ccc(OCCCC)cc2)ccc1(C(=O)Oc3ccc(OCCCC)cc3)).[Si](C)(C)O,0,0,1,0,0
CC(c1cc(C(=O)Oc2ccc(OCCCC)cc2)ccc1(C(=O)Oc3ccc(OCCCC)cc3)).[Si](C)(C)O,0,0,1,0,0
CC(c1cc(C(=O)Oc2ccc(OCCCC)cc2)ccc1(C(=O)Oc3ccc(OCCCC)cc3)).[Si](C)(C)O,0,1,1,0,0
CC(c1cc(C(=O)Oc2ccc(OCCCC)cc2)ccc1(C(=O)Oc3ccc(OCCCC)cc3)).[Si](C)(C)O,0,1,1,0,0
CC(c1cc(C(=O)Oc2ccc(OCCCC)cc2)ccc1(C(=O)Oc3ccc(OCCCC)cc3)).[Si](C)(C)O,0,0,1,0,0
CC(c1cc(C(=O)Oc2ccc(OCCCC)cc2)ccc1(C(=O)Oc3ccc(OCCCC)cc3)).[Si](C)(C)O,0,1,1,0,0
CC(c1cc(C(=O)Oc2ccc(OCCCC)cc2)ccc1(C(=O)Oc3ccc(OCCCC)cc3)).[Si](C)(C)O,0,1,0,0,0
CC(c1ccccc1).CC(C)(C(=O)OCC(CC)CCCC),0,1,0,0,0
CC(c1ccccc1).CC(C)(C(=O)OCC(CC)CCCC),0,1,0,0,0
CC(c1ccccc1).CC(C)(C(=O)OCC(CC)CCCC),0,1,0,0,0
CC(c1ccccc1).CC(C)(C(=O)OCC(CC)CCCC),0,1,0,0,0
CC(c1ccccc1).CC(C)(C(=O)OCC(CC)CCCC),0,1,0,0,0
CC(c1ccccc1).CC(C)(C(=O)OCC(CC)CCCC),0,1,0,0,0
CC(c1ccccc1).CC(C)(C(=O)OCC(CC)CCCC),0,1,0,0,0
CC(c1ccccc1).CC(C)(C(=O)OCC(CC)CCCC),0,1,0,0,1
CC(c1ccccc1).CC(C)(C(=O)OCC(CC)CCCC),0,0,0,0,1
CC(c1ccccc1).CC(C)(C(=O)OCC(CC)CCCC),0,1,0,0,0
CC(c1ccccc1).CC(C)(C(=O)OCC(CC)CCCC),0,1,0,0,0
CC(c1ccccc1).CC(C)(C(=O)OCC(CC)CCCC),0,1,0,0,0
CC(c1ccccc1).CC(C)(C(=O)OCC(CC)CCCC),0,1,0,0,1
CC(c1ccccc1).CC(C)(C(=O)OCC(CC)CCCC),0,0,0,0,1
CC(c1ccccc1).CC(C)(C(=O)OCC(CC)CCCC),0,0,0,0,1
CC(c1ccccc1).CC(C)(C(=O)OCC(CC)CCCC),0,0,0,0,1
CC(c1ccccc1).CC(C)(C(=O)OCC(CC)CCCC),0,0,0,0,1
