poly_chemprop_input,lamellar,cylinder,sphere,gyroid,disordered
[*:1]CC(c1ccccc1)[*:2].[*:3][Si](C)(C)O[*:4]|1|1|<~802.0741377169395,0,0,1,0,0
[*:1]CC(c1ccccc1)[*:2].[*:3][Si](C)(C)O[*:4]|1|1|<~485.81156572828655,0,1,0,0,0
[*:1]CC(c1ccccc1)[*:2].[*:3][Si](C)(C)O[*:4]|1|1|<~127.93966659052336,0,1,0,0,0
[*:1]CC(C1CCCCC1)[*:2].[*:3]CC[*:4].[*:5]CC(CC)[*:6]|1|1|1|<~128.56411380787964,1,0,0,0,1
[*:1]CC(C1CCCCC1)[*:2].[*:3]CC[*:4].[*:5]CC(CC)[*:6]|1|1|1|<~137.55461127696213,1,0,0,0,1
[*:1]CC(C1CCCCC1)[*:2].[*:3]CC[*:4].[*:5]CC(CC)[*:6]|1|1|1|<~313.99738603454466,1,0,0,0,0
[*:1]CC(C1CCCCC1)[*:2].[*:3]CC[*:4].[*:5]CC(CC)[*:6]|1|1|1|<~107.84692354871429,0,0,0,0,1
[*:1]CC(C1CCCCC1)[*:2].[*:3]CC[*:4].[*:5]CC(CC)[*:6]|1|1|1|<~110.58311886971465,1,0,0,0,1
[*:1]CC(C1CCCCC1)[*:2].[*:3]CC[*:4].[*:5]CC(CC)[*:6]|1|1|1|<~118.65306141396445,1,0,0,0,1
[*:1]CC(C1CCCCC1)[*:2].[*:3]CC[*:4].[*:5]CC(CC)[*:6]|1|1|1|<~117.73289154067976,1,0,0,0,1
[*:1]CC(C1CCCCC1)[*:2].[*:3]CC[*:4].[*:5]CC(CC)[*:6]|1|1|1|<~130.3150326213631,1,0,0,0,1
[*:1]CC(C1CCCCC1)[*:2].[*:3]CC[*:4].[*:5]CC(CC)[*:6]|1|1|1|<~136.68039406350056,1,0,0,0,1
[*:1]CC(C1CCCCC1)[*:2].[*:3]CC[*:4].[*:5]CC(CC)[*:6]|1|1|1|<~118.63161590358571,1,0,0,0,1
[*:1]CC(C1CCCCC1)[*:2].[*:3]CC[*:4].[*:5]CC(CC)[*:6]|1|1|1|<~144.69462242785835,1,0,0,0,1
