master_chemprop_input,EA vs SHE (eV) comp_x5,IP vs SHE (eV) comp_x5
Fc1ccc(F)cc1.Oc1cc(O)cc(O)c1,-3.4062103132528456,1.8080174283396104
Fc1ccc(F)cc1.Oc1cc(O)cc(O)c1,-3.092338967675282,1.39563420534247
Fc1ccc(F)cc1.Oc1cc(O)cc(O)c1,-3.399317082605835,1.6704459266410665
Fc1ccc(F)cc1.N#Cc1ccc(F)cc1,-2.4675273642433773,2.596923908958592
Fc1ccc(F)cc1.N#Cc1ccc(F)cc1,-2.457766950925764,2.626084689950112
Fc1ccc(F)cc1.Cc1cc(N)ccc1Cl,-3.459587851967248,1.454939623722008
Fc1ccc(F)cc1.Cc1cc(N)ccc1Cl,-2.6732405806982777,1.2268766678790868
Fc1ccc(F)cc1.O=C(Cl)COc1ccccc1,-2.8421119355495503,2.0661257311503154
Fc1ccc(F)cc1.O=C(Cl)COc1ccccc1,-2.690015739644338,1.946926674254484
Fc1ccc(F)cc1.O=C(Cl)COc1ccccc1,-2.904232690447572,1.837072132838562
Fc1ccc(F)cc1.COC(=O)c1cccc(N)n1,-2.724311528069622,1.7575420599832048
Fc1ccc(F)cc1.COC(=O)c1cccc(N)n1,-2.673070995281624,1.635087725702039
Fc1ccc(F)cc1.COC(=O)c1cccc(N)n1,-2.7209537904767,1.6137074969646843
Fc1ccc(F)cc1.c1ccc2ncncc2c1,-2.113290449148347,2.3140489686531334
Fc1ccc(F)cc1.c1ccc2ncncc2c1,-1.8882044115837315,2.1800176834304903
Fc1ccc(F)cc1.O=Cc1ccccc1F,-2.040702698531945,2.567400322178543
Fc1ccc(F)cc1.O=Cc1ccccc1F,-1.9220078323543677,2.552349130748369
Fc1ccc(F)cc1.O=Cc1ccccc1F,-1.9661858047631235,2.55034448291956
Fc1ccc(F)cc1.Cc1ccc(Cl)cc1,-3.157066146700916,2.404878217913705
Fc1ccc(F)cc1.Cc1ccc(Cl)cc1,-2.747483189246524,2.412501106747793
Fc1ccc(F)cc1.Cc1ccc(Cl)cc1,-2.948019106327301,2.3987663035251563
Fc1ccc(F)cc1.COC(=O)c1ccccn1,-2.4036409938465084,2.476099597094592
Fc1ccc(F)cc1.COC(=O)c1ccccn1,-2.3544943205104083,2.4756477874728664
Fc1ccc(F)cc1.COC(=O)c1ccccn1,-2.453351494967828,2.434964307235015
Fc1ccc(F)cc1.c1ccc(-n2c3ccccc3c3ccccc32)cc1,-3.0980804990304334,1.3481229505030723
Fc1ccc(F)cc1.c1ccc(-n2c3ccccc3c3ccccc32)cc1,-2.8513031360059315,1.045819722559301
Fc1ccc(F)cc1.CCOC(=O)c1cnccn1,-1.9215556819304824,2.4268559961299254
Fc1ccc(F)cc1.CCOC(=O)c1cnccn1,-1.4955148498721154,2.38912184800614
Fc1ccc(F)cc1.CCOC(=O)c1cnccn1,-1.942501933478252,2.445488673238856
Fc1ccc(F)cc1.Nc1ccc(C(F)(F)F)nc1,-2.8699410004084727,1.71511339925445
Fc1ccc(F)cc1.Nc1ccc(C(F)(F)F)nc1,-2.76391675331978,1.2072354108155263
Fc1ccc(F)cc1.CC1(C)C(=O)Nc2ccccc21,-3.1021205416565154,1.8442247060156287
Fc1ccc(F)cc1.CC1(C)C(=O)Nc2ccccc21,-2.8362773136680044,1.6386948164487638
Fc1ccc(F)cc1.CC1(C)C(=O)Nc2ccccc21,-3.066093511200918,1.7556744885805085
Fc1ccc(F)cc1.CC(=O)Nc1ccccc1,-2.7850615653292783,1.9516725214218156
Fc1ccc(F)cc1.CC(=O)Nc1ccccc1,-3.059225649176506,1.929009812843966
Fc1ccc(F)cc1.O=C(Nc1ccccc1)c1ccccc1,-2.952621557580806,1.9866743130570752
Fc1ccc(F)cc1.O=C(Nc1ccccc1)c1ccccc1,-2.864938587821734,1.8733754639711124
Fc1ccc(F)cc1.c1ccc(-c2nc3ccccc3s2)cc1,-2.4813565551800405,1.892204340848071
Fc1ccc(F)cc1.c1ccc(-c2nc3ccccc3s2)cc1,-2.5803346830206464,1.5581249529714658
Fc1ccc(F)cc1.c1ccc(-c2nc3ccccc3s2)cc1,-2.4858103854344207,1.8134768928505012
Fc1ccc(F)cc1.COc1ccccc1,-3.156966778245577,1.986973012671887
Fc1ccc(F)cc1.COc1ccccc1,-2.7789097785774133,1.8865921132367989
Fc1ccc(F)cc1.COc1ccccc1,-3.029148745515579,1.898109036323372
Fc1ccc(F)cc1.OCc1ccccn1,-2.9488350892562423,2.30045150482238
Fc1ccc(F)cc1.OCc1ccccn1,-2.909861481078414,2.310959740049153
Fc1ccc(F)cc1.OCc1ccccn1,-2.870680183523734,2.216215817125838
Fc1ccc(F)cc1.O=C(Cl)c1ccccc1,-1.9625334399613088,2.61320975283594
Fc1ccc(F)cc1.O=C(Cl)c1ccccc1,-1.934975648212669,2.6460878679611066
Fc1ccc(F)cc1.Cc1cncs1,-2.6825592590207927,1.2259426216522278
Fc1ccc(F)cc1.Cc1cncs1,-2.2161361293029294,1.563679310424258
Fc1ccc(F)cc1.CC(C)(C)c1cc2ccc3cccc4ccc(c1)c2c34,-2.50188531257111,1.439155616250949
Fc1ccc(F)cc1.CC(C)(C)c1cc2ccc3cccc4ccc(c1)c2c34,-2.699860954503823,1.1747348229413896
Fc1ccc(F)cc1.CC(C)(C)c1cc2ccc3cccc4ccc(c1)c2c34,-2.5800122327010677,1.2910122739494652
Fc1ccc(F)cc1.c1ccc2[nH]ncc2c1,-2.8654161711952346,1.55751141528425
Fc1ccc(F)cc1.c1ccc2[nH]ncc2c1,-2.931988872258044,1.628698430521338
Fc1ccc(F)cc1.O=C(c1ccccc1)c1ccccc1,-2.2548187588854507,2.3488443036724087
Fc1ccc(F)cc1.O=C(c1ccccc1)c1ccccc1,-2.2238920663332418,2.301950260355832
Fc1ccc(F)cc1.O=C(c1ccccc1)c1ccccc1,-2.173678349965565,2.29972778909924
Fc1ccc(F)cc1.O=[N+]([O-])c1ccccc1,-1.7293771263297726,2.784075355692842
Fc1ccc(F)cc1.O=[N+]([O-])c1ccccc1,-1.4286326154355415,2.624352972056817
Fc1ccc(F)cc1.O=c1cc[nH]cc1,-2.6236909811896787,1.9423759534035585
Fc1ccc(F)cc1.O=c1cc[nH]cc1,-2.689022019716516,1.9107104759999312
Fc1ccc(F)cc1.O=c1cc[nH]cc1,-2.654291883266814,1.8286849625160968
Fc1ccc(F)cc1.O=[N+]([O-])c1ccccc1,-1.875607096310281,2.7952727155944705
Fc1ccc(F)cc1.O=[N+]([O-])c1ccccc1,-1.6407487339038298,2.707097815080274
Fc1ccc(F)cc1.c1ccncc1,-2.7959598454828924,2.229744691110826
Fc1ccc(F)cc1.c1ccncc1,-2.6906593059098736,2.0999344858838467
Fc1ccc(F)cc1.c1ccncc1,-2.809478990120228,2.223913522439452
Fc1ccc(F)cc1.S=C=Nc1ccccc1,-2.733649846109256,2.07134289864956
Fc1ccc(F)cc1.S=C=Nc1ccccc1,-2.7081922026791645,2.024052850865267
Fc1ccc(F)cc1.S=C=Nc1ccccc1,-2.7568895206497395,2.026143145302713
