master_chemprop_input,EA vs SHE (eV),IP vs SHE (eV)
Fc1ccc(F)cc1.Oc1cc(O)cc(O)c1,-3.4062103132528456,1.8080174283396104
Fc1ccc(F)cc1.Oc1cc(O)cc(O)c1,-2.991909118105326,1.761061672870461
Fc1ccc(F)cc1.Oc1cc(O)cc(O)c1,-3.1965701146736407,1.817266645269346
Fc1ccc(F)cc1.N#Cc1ccc(F)cc1,-2.4726848365244187,2.635116064122538
Fc1ccc(F)cc1.N#Cc1ccc(F)cc1,-2.4695818561351057,2.608898526097016
Fc1ccc(F)cc1.N#Cc1ccc(F)cc1,-2.4640716051228546,2.626040295875633
Fc1ccc(F)cc1.Cc1cc(N)ccc1Cl,-3.459587851967248,1.454939623722008
Fc1ccc(F)cc1.Cc1cc(N)ccc1Cl,-3.0112040071250084,1.4349207742246086
Fc1ccc(F)cc1.Cc1cc(N)ccc1Cl,-3.2527717406056995,1.4484797047038709
Fc1ccc(F)cc1.O=C(Cl)COc1ccccc1,-2.8421119355495503,2.0661257311503154
Fc1ccc(F)cc1.O=C(Cl)COc1ccccc1,-2.690956692930748,2.031288774323177
Fc1ccc(F)cc1.O=C(Cl)COc1ccccc1,-2.78715592957318,2.021033184020282
Fc1ccc(F)cc1.COC(=O)c1cccc(N)n1,-2.724311528069622,1.7575420599832048
Fc1ccc(F)cc1.COC(=O)c1cccc(N)n1,-2.68796795459074,1.7610564168601577
Fc1ccc(F)cc1.COC(=O)c1cccc(N)n1,-2.7077426976375323,1.7561235873774637
Fc1ccc(F)cc1.c1ccc2ncncc2c1,-2.113290449148347,2.3140489686531334
Fc1ccc(F)cc1.c1ccc2ncncc2c1,-2.045463353071068,2.210281629809673
Fc1ccc(F)cc1.c1ccc2ncncc2c1,-2.0663168438279707,2.273808921041766
Fc1ccc(F)cc1.O=Cc1ccccc1F,-2.040702698531945,2.567400322178543
Fc1ccc(F)cc1.O=Cc1ccccc1F,-2.0433483930565544,2.566007822481469
Fc1ccc(F)cc1.O=Cc1ccccc1F,-2.050155997896637,2.56478393066948
Fc1ccc(F)cc1.Cc1ccc(Cl)cc1,-3.157066146700916,2.404878217913705
Fc1ccc(F)cc1.Cc1ccc(Cl)cc1,-2.951877351928597,2.406137112643488
Fc1ccc(F)cc1.Cc1ccc(Cl)cc1,-3.067067337102264,2.412624619758428
Fc1ccc(F)cc1.COC(=O)c1ccccn1,-2.4036409938465084,2.476099597094592
Fc1ccc(F)cc1.COC(=O)c1ccccn1,-2.415465100931696,2.488348144221439
Fc1ccc(F)cc1.COC(=O)c1ccccn1,-2.4232359503532983,2.4746110384185016
Fc1ccc(F)cc1.c1ccc(-n2c3ccccc3c3ccccc32)cc1,-3.0980804990304334,1.3481229505030723
Fc1ccc(F)cc1.c1ccc(-n2c3ccccc3c3ccccc32)cc1,-2.936417126638398,1.2334709635412835
Fc1ccc(F)cc1.c1ccc(-n2c3ccccc3c3ccccc32)cc1,-3.032268163313812,1.306570020467413
